text,tokenized,cluster
sipah di sudah bertahun punyakit,sipah di sudah bertahun punyakit,0
makan tidur makan tidur kapan kerja,makan tidur makan tidur kapan kerja,0
solusi sakit kepala belakang teman,solusi sakit kepala belakang teman,0
mau pergi perjalanan tidak panik,mau pergi perjalanan tidak panik,0
hidup berasa ada di dunia,hidup berasa ada di dunia,0
mau ini orang bukan fobsos,mau ini orang bukan fobsos,0
ya teman badan rasanya lemas,ya teman badan rasanya lemas,0
orang sakit gerd anxiety paham,orang sakit gerd anxiety paham,0
ada pergelangan kaki suka kaku,ada pergelangan kaki suka kaku,0
perasaan jam tidur sudah normal,perasaan jam tidur sudah normal,0
adakah teman sudah sembuh anxieti depresi,adakah teman sudah sembuh anxieti depresi,0
sudah kalinya rumah tahun,sudah kalinya rumah tahun,0
orang tua toxic,orang tua toxic,0
ya aku menjalani hidup normal,ya aku menjalani hidup normal,0
enak jantung mau berhenti,enak jantung mau berhenti,0
badan lemes seperti mati kuat,badan lemes seperti mati kuat,0
muda masih banyak belum ku coba,muda masih banyak belum ku coba,0
sakit kepala mata info solusinya kakak,sakit kepala mata info solusinya kakak,0
dance orang lupa dibangga banggain,dance orang lupa dibangga banggain,0
sebagian kita ini ya,sebagian kita ini ya,0
jam segini makan teman gimana kamu,jam segini makan teman gimana kamu,0
sedih kalau orang tua brharap kpan nikah,sedih kalau orang tua brharap kpan nikah,0
yang kepala pusing di tekan gaa,yang kepala pusing di tekan gaa,0
juga kalau dan acara cosplay,juga kalau dan acara cosplay,0
takut di kerumunan orang ya,takut di kerumunan orang ya,0
selamat pagi diri aku ini aneh,selamat pagi diri aku ini aneh,0
kesal jadi orang tidak percaya,kesal jadi orang tidak percaya,0
stress bila terkenang ibu,stress bila terkenang ibu,0
sakit ini mati hiduprasa,sakit ini mati hiduprasa,0
ada ngalamin maladaptive dayreaming,ada ngalamin maladaptive dayreaming,0
panas ya tenggorokan,panas ya tenggorokan,0
sensasi mulai muncul semoga di lewatin,sensasi mulai muncul semoga di lewatin,0
badan kurus kecil ada sama,badan kurus kecil ada sama,0
butuh uang mental sudah bner kesal,butuh uang mental sudah bner kesal,0
yang jadi teman curhat tidak sekrg,yang jadi teman curhat tidak sekrg,0
sensasi yang rasakkan malam teman,sensasi yang rasakkan malam teman,0
kalau psikiater apa temenin,kalau psikiater apa temenin,0
penyakit kambuh ya allah sensasi ada,penyakit kambuh ya allah sensasi ada,0
sudah lama mengurung di rumah,sudah lama mengurung di rumah,0
terus hari nya mati,terus hari nya mati,0
umur tahun sudah penyakit mental,umur tahun sudah penyakit mental,0
lagi kambuh lihat postingaaan baru,lagi kambuh lihat postingaaan baru,0
bingung punya uang juta trading forex,bingung punya uang juta trading forex,0
suka takut ke alfamart,suka takut ke alfamart,0
adakah masih takut cemas keluar rumah,adakah masih takut cemas keluar rumah,0
cemas takut mati gelisah perasaan enak,cemas takut mati gelisah perasaan enak,0
ini sudah pslogi koseling,ini sudah pslogi koseling,0
sedang panik serang yang di lakukan,sedang panik serang yang di lakukan,0
allah bisa tidur pikir tidak tenang,allah bisa tidur pikir tidak tenang,0
yang makek obat dan gimana,yang makek obat dan gimana,0
badan gemetar posisi tidak uang,badan gemetar posisi tidak uang,0
enak punya mental hancur ini,enak punya mental hancur ini,0
ngeliat hidup orang seperti senang ya,ngeliat hidup orang seperti senang ya,0
kesehatan hanya apa kita makan,kesehatan hanya apa kita makan,0
dada panas yang gaobat apa,dada panas yang gaobat apa,0
ya selalu sepelein,ya selalu sepelein,0
hidup seperti nyata,hidup seperti nyata,0
tumben sepiudah bisa tidur kali yahihi,tumben sepiudah bisa tidur kali yahihi,0
yang habis makan kuning telur sesak sih,yang habis makan kuning telur sesak sih,0
tidak habis makan jantung berdebar,tidak habis makan jantung berdebar,0
kesal ngadepin gerd anxiety kuat anak,kesal ngadepin gerd anxiety kuat anak,0
kemana tapi takut mati hari,kemana tapi takut mati hari,0
yang sakit matanya kiri kanan,yang sakit matanya kiri kanan,0
lagi nafas plong mau pingsan,lagi nafas plong mau pingsan,0
kalau dada sakit takut serangan jantung,kalau dada sakit takut serangan jantung,0
kambuh pinggang dada kiri nyeri allah,kambuh pinggang dada kiri nyeri allah,0
semoga belum sembuh di kesembuhan,semoga belum sembuh di kesembuhan,0
kalau tidur jam malam kebangun jam malam,kalau tidur jam malam kebangun jam malam,0
yang tau obat penghilang cemas gelisah depresi,yang tau obat penghilang cemas gelisah depresi,0
suasana yang dunia hidup,suasana yang dunia hidup,0
orang salah tidak benar,orang salah tidak benar,0
doang nya tidak kerja grup,doang nya tidak kerja grup,0
pernah di nasehati banyak orang,pernah di nasehati banyak orang,0
yang aku takut akhirnya sos,yang aku takut akhirnya sos,0
telapak kaki dingin hari sembuh sembuh,telapak kaki dingin hari sembuh sembuh,0
berusaha sembuh penyakit mental kesal,berusaha sembuh penyakit mental kesal,0
pusing mual dada sesak bisa tidur takut cemas,pusing mual dada sesak bisa tidur takut cemas,0
tau hidup keras pada berani anak,tau hidup keras pada berani anak,0
thai khu chingkomunitas orang asam lambung gerd des,thai khu chingkomunitas orang asam lambung gerd des,0
ada sakit kepala dahi ke mata,ada sakit kepala dahi ke mata,0
ada grup whatsapp anxiety disorder sih,ada grup whatsapp anxiety disorder sih,0
seorang anak menjadi beban orang tua,seorang anak menjadi beban orang tua,0
adakah orang minum obat alprazolam hari,adakah orang minum obat alprazolam hari,0
yang nikah disini usia nikah,yang nikah disini usia nikah,0
hasilnya normal tapi dada berat allah,hasilnya normal tapi dada berat allah,0
izin teman vitagerd bagus gerd,izin teman vitagerd bagus gerd,0
dada berdebar nafas mau mati takut yallh,dada berdebar nafas mau mati takut yallh,0
ceritanya dijodohin anak teman aku,ceritanya dijodohin anak teman aku,0
dunia kerja kejam ada tukangbully,dunia kerja kejam ada tukangbully,0
tidak teman merasaka pundak kaku dada berat,tidak teman merasaka pundak kaku dada berat,0
tidak orang grup seperti sering lapar,tidak orang grup seperti sering lapar,0
masih pikiran sensasi mati nonton coba,masih pikiran sensasi mati nonton coba,0
nyeri punggung dari sensasi teman,nyeri punggung dari sensasi teman,0
semua kecemasan sensasi asam lambung,semua kecemasan sensasi asam lambung,0
anak panik dengar pengumuman orang mati,anak panik dengar pengumuman orang mati,0
orang manggarai flores kena anxiety sini,orang manggarai flores kena anxiety sini,0
yang hamil punya miom juga,yang hamil punya miom juga,0
habis mandi seperti cekek penyakit anehhh,habis mandi seperti cekek penyakit anehhh,0
tidak memiliki pikiran pikiran yangnegatif,tidak memiliki pikiran pikiran yangnegatif,0
mata gantuk berat badan lemes dada enak,mata gantuk berat badan lemes dada enak,0
bangun tidur pagi suka oleng,bangun tidur pagi suka oleng,0
berasa keberadaan tidak tenang orang,berasa keberadaan tidak tenang orang,0
tau aku takut sama tatapan manusia,tau aku takut sama tatapan manusia,0
tidak memiliki pikiran pikiran negatif,tidak memiliki pikiran pikiran negatif,0
panas sama sakit perih perut,panas sama sakit perih perut,0
belum tidur kebangun sensasi ramaikan,belum tidur kebangun sensasi ramaikan,0
rencana jalan badan kliyengan lagi cemassss,rencana jalan badan kliyengan lagi cemassss,0
pernah itu sholat disuruh kewarung,pernah itu sholat disuruh kewarung,0
perut aga enak takut kepikiran perut,perut aga enak takut kepikiran perut,0
ada pusing lemes takut fanik yaallaahhh,ada pusing lemes takut fanik yaallaahhh,0
perut begah nafas engap badan sakit,perut begah nafas engap badan sakit,0
yang penyakit karena golput,yang penyakit karena golput,0
takut sesak dada kiri nyeri takut rnd naudzibillah,takut sesak dada kiri nyeri takut rnd naudzibillah,0
bisa sembuh bisa normal dulu ya,bisa sembuh bisa normal dulu ya,0
adakah sering kesemutan di kaki tangan,adakah sering kesemutan di kaki tangan,0
pikiran mati badan lemes jantung lemes,pikiran mati badan lemes jantung lemes,0
yang hanya dirumah tidak keluar,yang hanya dirumah tidak keluar,0
kena panik tempat kerja seperti orang bingung,kena panik tempat kerja seperti orang bingung,0
curhat gapapa aku bingung mau cerita siapa,curhat gapapa aku bingung mau cerita siapa,0
kepala keleyengan dada kiri enak,kepala keleyengan dada kiri enak,0
yang gangguan tidur sakit kepala sih,yang gangguan tidur sakit kepala sih,0
bisa tidur ada keluhan jd cemas pikiran kacau,bisa tidur ada keluhan jd cemas pikiran kacau,0
habis makan jantung berdebar debar mohon solusinya teman,habis makan jantung berdebar debar mohon solusinya teman,0
kenapa hujan sensasi,kenapa hujan sensasi,0
panik gara pusing berat sudah lagi haid,panik gara pusing berat sudah lagi haid,0
hari pusing ya allah pikir tidak tenang,hari pusing ya allah pikir tidak tenang,0
anxiety asal nya hanya aslam ya,anxiety asal nya hanya aslam ya,0
mula takut ketemu orang tahun kemarin,mula takut ketemu orang tahun kemarin,0
bersin masya allah sakit di dada perut,bersin masya allah sakit di dada perut,0
hanya yang ingin mertua orang tua,hanya yang ingin mertua orang tua,0
tidak bluum tidur sekarang jm,tidak bluum tidur sekarang jm,0
apa tidak fokus jauhkan ku stress allah,apa tidak fokus jauhkan ku stress allah,0
ini ya tidur sesak maksud gimn ini,ini ya tidur sesak maksud gimn ini,0
banyak orang dunia tapi sendiri fbpro,banyak orang dunia tapi sendiri fbpro,0
bisa tidur ini ini ya cacar air,bisa tidur ini ini ya cacar air,0
video ada youtube chanel abdul rohman asam lambung,video ada youtube chanel abdul rohman asam lambung,0
sini seperti akusetiap malam mimpi buruk,sini seperti akusetiap malam mimpi buruk,0
dengar kabar orang meninggal langsung sensasi allah panik,dengar kabar orang meninggal langsung sensasi allah panik,0
mimpi pulang rumah jalan pertanda ya,mimpi pulang rumah jalan pertanda ya,0
telat makan minum kepala suka pusing kenapa,telat makan minum kepala suka pusing kenapa,0
banyak orang dunia tapi sendiri fbpro,banyak orang dunia tapi sendiri fbpro,0
gimana tidak ngos ngosan sesak sudah kambuh,gimana tidak ngos ngosan sesak sudah kambuh,0
adakah sini sering sakit perut nyeri uluh hati,adakah sini sering sakit perut nyeri uluh hati,0
ya merantau kerja bawa teman kampung,ya merantau kerja bawa teman kampung,0
assalamualaikum teman kalian lagi pusing,assalamualaikum teman kalian lagi pusing,0
ya bisa malas tidak suka ngapangapainnnn,ya bisa malas tidak suka ngapangapainnnn,0
gerd anxiety tidak di rugya kali sembuh total,gerd anxiety tidak di rugya kali sembuh total,0
sudah akut aku anxiety sudah ketahap skizo,sudah akut aku anxiety sudah ketahap skizo,0
takut ketemu orang karena mau suruh suruh,takut ketemu orang karena mau suruh suruh,0
sesuatu sampai ini kamu hidup,sesuatu sampai ini kamu hidup,0
badan digaru langsung merah,badan digaru langsung merah,0
ya masuk usia itu badan renta mudah sakit,ya masuk usia itu badan renta mudah sakit,0
sudah pernah ngobrol sekali teman sd,sudah pernah ngobrol sekali teman sd,0
tidak suka dengan tawa ku tidak terkontrol,tidak suka dengan tawa ku tidak terkontrol,0
mana ada orang bisa menyembuhkan penyakitku,mana ada orang bisa menyembuhkan penyakitku,0
obat ya minum badan ndk enak,obat ya minum badan ndk enak,0
yang minum tidak keleyengan pusing,yang minum tidak keleyengan pusing,0
tidak obat bisa cepat nglupain perempuan,tidak obat bisa cepat nglupain perempuan,0
tidak cewek fobia sosial tidak kerja,tidak cewek fobia sosial tidak kerja,0
kesal pikir negatif yang cemas aslam kambuh,kesal pikir negatif yang cemas aslam kambuh,0
ya orang introvert depresi suka video,ya orang introvert depresi suka video,0
yang pikiran kemana karena jelang puasa,yang pikiran kemana karena jelang puasa,0
adakah berminat buat grup whatsapp sosial anxiety,adakah berminat buat grup whatsapp sosial anxiety,0
badan panas ada api,badan panas ada api,0
mata suka perih sedikit sakit,mata suka perih sedikit sakit,0
allah prsaan enak ada sama,allah prsaan enak ada sama,0
ada kepalanya dingin takut,ada kepalanya dingin takut,0
hidup penderitaan orang gangguan mental,hidup penderitaan orang gangguan mental,0
ngimpi aneuh takut tolong bangun bantu,ngimpi aneuh takut tolong bangun bantu,0
pikiran mati yang menghantui badan kaku,pikiran mati yang menghantui badan kaku,0
sesak begah lagi cemas jadi ampun tolong,sesak begah lagi cemas jadi ampun tolong,0
nifas demam aku cemas,nifas demam aku cemas,0
hidup penderitaan orang gangguan mental,hidup penderitaan orang gangguan mental,0
ada teman sakit mental dibtambah sakit fisik,ada teman sakit mental dibtambah sakit fisik,0
susah nafas mulut asam perut sakit harus ya,susah nafas mulut asam perut sakit harus ya,0
merasakan tidak akan tau dikiranya boongan,merasakan tidak akan tau dikiranya boongan,0
sini tidak gerd menahun sembuh pakai habatusauda,sini tidak gerd menahun sembuh pakai habatusauda,0
susah penyakit berbat migu kerja bigung,susah penyakit berbat migu kerja bigung,0
yang beli obat anxiety asam lambung inbox,yang beli obat anxiety asam lambung inbox,0
orang punya anxiety kenapa bawaannya emosi,orang punya anxiety kenapa bawaannya emosi,0
maaf tanya sini yang pakai obat tidur aman ajh,maaf tanya sini yang pakai obat tidur aman ajh,0
kadang heran  sehat tidak kerja,kadang heran sehat tidak kerja,0
mengatasi cemas dengan yang pasti,mengatasi cemas dengan yang pasti,0
anak introvert ada bisa nnegrtiin aku,anak introvert ada bisa nnegrtiin aku,0
tidur cepat malam kok susah sekali ya,tidur cepat malam kok susah sekali ya,0
nyari teman curhat curhat teman suka sebarin,nyari teman curhat curhat teman suka sebarin,0
jarang tempe posisi ku di negara orang,jarang tempe posisi ku di negara orang,0
bercerita teman aku pergi kepasar orang tua,bercerita teman aku pergi kepasar orang tua,0
itu sama teman mandi sungai ada rumah,itu sama teman mandi sungai ada rumah,0
mau kerja keras tidak takut kesal solusinya,mau kerja keras tidak takut kesal solusinya,0
dunia jahat untuk orang punya mental health,dunia jahat untuk orang punya mental health,0
kalau ada teman dunia nyata jadi kesepian,kalau ada teman dunia nyata jadi kesepian,0
kalau pagi itu cemas apalagi ditempat kerja,kalau pagi itu cemas apalagi ditempat kerja,0
kadang badan kepala tidak nyata hidup allah,kadang badan kepala tidak nyata hidup allah,0
di kalian banyak orang meninggal mendadak,di kalian banyak orang meninggal mendadak,0
hidup sulit buat orang kena gangguan mental,hidup sulit buat orang kena gangguan mental,0
yang badan seperti kedutan tidak,yang badan seperti kedutan tidak,0
yang rasain tidak tambah badan lemas lemas,yang rasain tidak tambah badan lemas lemas,0
orang obat sakit kejiwaan dari pikiran sendiri,orang obat sakit kejiwaan dari pikiran sendiri,0
kambuh teman begah uluhati tidak nyaman cemas allah,kambuh teman begah uluhati tidak nyaman cemas allah,0
suka tiba nangis hati berat terlalu sakit,suka tiba nangis hati berat terlalu sakit,0
mau tidur saja di pikirin bikin cemas panik,mau tidur saja di pikirin bikin cemas panik,0
ibuku sukanya suami orang yang aku lakukan,ibuku sukanya suami orang yang aku lakukan,0
ada sembuh depresi anxieti obat teman,ada sembuh depresi anxieti obat teman,0
coba coba minum obat psikiater masih cara,coba coba minum obat psikiater masih cara,0
yang tau aku berhenti tahunan,yang tau aku berhenti tahunan,0
disini juga punya sama coba sharing,disini juga punya sama coba sharing,0
yang ngalamin darah dari anus tidak sakit,yang ngalamin darah dari anus tidak sakit,0
makan muntah tenggorokan panas tidur susah,makan muntah tenggorokan panas tidur susah,0
sebenernya sudah butuh dukung orang aku,sebenernya sudah butuh dukung orang aku,0
assalamualaikum yang celekit dada sebelah kiri,assalamualaikum yang celekit dada sebelah kiri,0
tidak kata dosa kadang mending mati tidak tau,tidak kata dosa kadang mending mati tidak tau,0
hidup tidak berguna selalu mengakhiri hidup,hidup tidak berguna selalu mengakhiri hidup,0
sakit perut jarang bab takut sering makan,sakit perut jarang bab takut sering makan,0
koreksi diriapa sudah hari untuk sehat,koreksi diriapa sudah hari untuk sehat,0
adakah yang konflik orang tua marah,adakah yang konflik orang tua marah,0
jujur takut diusia ke tinggal didesa berat teman,jujur takut diusia ke tinggal didesa berat teman,0
detak jantung tidak berasa badan lmes perasaan terus,detak jantung tidak berasa badan lmes perasaan terus,0
cemas berlebih ada cowok mau kenalan tau,cemas berlebih ada cowok mau kenalan tau,0
yang sesak leher ganjel nafas berat pikiran mati,yang sesak leher ganjel nafas berat pikiran mati,0
telat makan bisa dada kiri nyeri hilang timbul ya,telat makan bisa dada kiri nyeri hilang timbul ya,0
jadi orang dan menolong orang butuh kerja,jadi orang dan menolong orang butuh kerja,0
psikiaterr gimna kemajuann apa sudah sembuh,psikiaterr gimna kemajuann apa sudah sembuh,0
perut sakit di pegang yah  kakak,perut sakit di pegang yah kakak,0
ya perut kumat mata berat bisa ke mata,ya perut kumat mata berat bisa ke mata,0
anxiety ku kambuh panik ya allah pikiran kemana,anxiety ku kambuh panik ya allah pikiran kemana,0
kalau teman ada orang rumah aku kenapa,kalau teman ada orang rumah aku kenapa,0
kerja diorang bawaannya cemas sampai bsa tidur,kerja diorang bawaannya cemas sampai bsa tidur,0
tidak tidur chtt ayo sharing tidak panik,tidak tidur chtt ayo sharing tidak panik,0
yang gerd berapa dan sering kambuh,yang gerd berapa dan sering kambuh,0
huhh hari perut enak cemas terlalu segla takut,huhh hari perut enak cemas terlalu segla takut,0
belum tidur komen susah tidur sakit kepala,belum tidur komen susah tidur sakit kepala,0
grup whatsapp ada mau gabung,grup whatsapp ada mau gabung,0
kalau tensi selalu mual ada sama disini,kalau tensi selalu mual ada sama disini,0
kena lambung tahun adakah lebih yang alami,kena lambung tahun adakah lebih yang alami,0
hari takut mati mikirin umur apa,hari takut mati mikirin umur apa,0
juga suka bersosialisasi lebih parah aku,juga suka bersosialisasi lebih parah aku,0
aduh kliyengan kambuh lagi dari prakter anak berobat,aduh kliyengan kambuh lagi dari prakter anak berobat,0
ada sama sudah minum obat aku jalan sebulan,ada sama sudah minum obat aku jalan sebulan,0
sudah sembuh dari perilaku sosial orang,sudah sembuh dari perilaku sosial orang,0
percaya ibu meninggal seperti mimpi,percaya ibu meninggal seperti mimpi,0
bersosialisasinya saja kalau sudah ganteng,bersosialisasinya saja kalau sudah ganteng,0
ada kalian anxiety sembuh menikah,ada kalian anxiety sembuh menikah,0
yang anxiety tidak atau gad ganguan kecemasan,yang anxiety tidak atau gad ganguan kecemasan,0
tau penyakit seperti inirasanya jadi dokter sj,tau penyakit seperti inirasanya jadi dokter sj,0
mata ini penglihatan normal tidak kakak,mata ini penglihatan normal tidak kakak,0
kadang tau yang tapi sulit melakukannya,kadang tau yang tapi sulit melakukannya,0
yang makan durian langsung  perasaan,yang makan durian langsung perasaan,0
pinggang kanan ini terus lemes takut yaallahh yarrob,pinggang kanan ini terus lemes takut yaallahh yarrob,0
kali ada orang brebes butuh temwn curhat sepi ini hidup,kali ada orang brebes butuh temwn curhat sepi ini hidup,0
sedang masalah ada bisa teman curhat,sedang masalah ada bisa teman curhat,0
mata orang tidur padahal ngantuk ya,mata orang tidur padahal ngantuk ya,0
curhat konsultasi mental da bisa bantu tidak,curhat konsultasi mental da bisa bantu tidak,0
cemas di lawan salah tingka gimana cara ngatasinya,cemas di lawan salah tingka gimana cara ngatasinya,0
hati hati kebiasan sehari ini yanh diam diam asam lambung,hati hati kebiasan sehari ini yanh diam diam asam lambung,0
ya nafas hari plong narik nafas saja susah,ya nafas hari plong narik nafas saja susah,0
cara orang memahami dan perasaan,cara orang memahami dan perasaan,0
butuh teman anxiety kalau panik yang di hubungi,butuh teman anxiety kalau panik yang di hubungi,0
ya orang terdakat menjadi salah perusak mental,ya orang terdakat menjadi salah perusak mental,0
sedang mengalami hurry sickneess ada sama ku,sedang mengalami hurry sickneess ada sama ku,0
habis makan durian perut bega leher panas,habis makan durian perut bega leher panas,0
parah gimana ada orang sedih aku tawa,parah gimana ada orang sedih aku tawa,0
aku sehat tidak jelas tidak mandi hari,aku sehat tidak jelas tidak mandi hari,0
obat obat resperidone cocok di kerja tidak bisa,obat obat resperidone cocok di kerja tidak bisa,0
allah nyaman jantung tiba berdebar takut,allah nyaman jantung tiba berdebar takut,0
badan lecet gara gatal sembuh minum obat takuthaduuuhhhhh,badan lecet gara gatal sembuh minum obat takuthaduuuhhhhh,0
dulu masih gapaham bisa orang mukuli self harm,dulu masih gapaham bisa orang mukuli self harm,0
anxiety sering kambuh sore tidak hilang nya,anxiety sering kambuh sore tidak hilang nya,0
begah sesak saat minum obat herbal saja,begah sesak saat minum obat herbal saja,0
dsni yang kerja tapi lu nolepkerja harus kerja grup,dsni yang kerja tapi lu nolepkerja harus kerja grup,0
mimpi pengantin wajah buat di dandanin kepikiran,mimpi pengantin wajah buat di dandanin kepikiran,0
tidak kadang susah nafas engap dan panik,tidak kadang susah nafas engap dan panik,0
sebenernya yang mau nikahin dari kesal kerja,sebenernya yang mau nikahin dari kesal kerja,0
kebangun perut keroncongan allah sblm tidur makan,kebangun perut keroncongan allah sblm tidur makan,0
jam melahirkan langsung sehat ada sakit bidannya hebat,jam melahirkan langsung sehat ada sakit bidannya hebat,0
aku bisa kerja bawaan lemes gmna kerja tolong,aku bisa kerja bawaan lemes gmna kerja tolong,0
aku bisa kerja bawaan lemes gmna kerja tolong,aku bisa kerja bawaan lemes gmna kerja tolong,0
ya overthingking dari tidak tenang hidup,ya overthingking dari tidak tenang hidup,0
kadang kesal hidup hal bukan kesal kerja kuliah,kadang kesal hidup hal bukan kesal kerja kuliah,0
benar mau sembuh asam lambung makan bubur hari,benar mau sembuh asam lambung makan bubur hari,0
teman kasih semangat menjalani hidup ku penuh ini,teman kasih semangat menjalani hidup ku penuh ini,0
adakah teman masih merasakan seribu sensasi mari coret di,adakah teman masih merasakan seribu sensasi mari coret di,0
yang tidur kebangun cemas butuh teman sharing,yang tidur kebangun cemas butuh teman sharing,0
tanya kakak badan lemas bangun tidur pagi ya,tanya kakak badan lemas bangun tidur pagi ya,0
hati kuat gimana kakak tambah semanagat buat ibu senyum,hati kuat gimana kakak tambah semanagat buat ibu senyum,0
perasaan enak mau mati badan seperti ngedukung pikiran,perasaan enak mau mati badan seperti ngedukung pikiran,0
enak jadi fobsos kerja ada suka kerja kacau,enak jadi fobsos kerja ada suka kerja kacau,0
ya perut hari sudah makan belum kembung,ya perut hari sudah makan belum kembung,0
mantap ya beras habis tidak uang beli,mantap ya beras habis tidak uang beli,0
dsini yang pernah ngalamin tidur anea mimpi bisa nafas,dsini yang pernah ngalamin tidur anea mimpi bisa nafas,0
kakak ada tiap sekali sensasi ngerasa mual kah,kakak ada tiap sekali sensasi ngerasa mual kah,0
tidak makan tidak minum jam mengikuti acara,tidak makan tidak minum jam mengikuti acara,0
suatu kita berubah hidup normal tidak takut sos,suatu kita berubah hidup normal tidak takut sos,0
kebangun mimpi buruk ada ngerasain sensasi perut pans,kebangun mimpi buruk ada ngerasain sensasi perut pans,0
ok ini semua orang meremehkan ku merendah ku,ok ini semua orang meremehkan ku merendah ku,0
kemarin perasaan takut mati hilang sekarang muncul,kemarin perasaan takut mati hilang sekarang muncul,0
tahu salah tapi sakit di kerja disuruh order,tahu salah tapi sakit di kerja disuruh order,0
tiada tmpa cemas cemas hari perut,tiada tmpa cemas cemas hari perut,0
sensasi ter berat bisa tidur sesak bisa nafas kepikiran,sensasi ter berat bisa tidur sesak bisa nafas kepikiran,0
badan langsung dingin minum antibiotik metronidazole huftt,badan langsung dingin minum antibiotik metronidazole huftt,0
allah punya penyakit seperti yang rasa tubuh,allah punya penyakit seperti yang rasa tubuh,0
sesak perut atas ulu hati baiknya minum obat ya,sesak perut atas ulu hati baiknya minum obat ya,0
allah aku memikirkan takut mati takut penyakit berat,allah aku memikirkan takut mati takut penyakit berat,0
perut kembung badan lemah tidak teman pernah dada berat,perut kembung badan lemah tidak teman pernah dada berat,0
depresi ku berat sampai bisa beraktifitas hari tiduran,depresi ku berat sampai bisa beraktifitas hari tiduran,0
umur tahun kerja langsung kesal sesak nafas ngos ngosan,umur tahun kerja langsung kesal sesak nafas ngos ngosan,0
anxiety ku kambuh mau mati semenyiksa kena gerd anxiety,anxiety ku kambuh mau mati semenyiksa kena gerd anxiety,0
orang peduli kita terkena gangguan mental tidak,orang peduli kita terkena gangguan mental tidak,0
