text,tokenized,cluster
kasih keluh kesah tips merantau kakak,kasih keluh kesah tips merantau kakak,2
sepi teman pekerjaan survei kosong wayae tidur,sepi teman pekerjaan survei kosong wayae tidur,2
ubur ubur ikan lelesetiap sore anxiety ku kumat lee,ubur ubur ikan lelesetiap sore anxiety ku kumat lee,2
adakah blum tidur terbangun mimpi buruk,adakah blum tidur terbangun mimpi buruk,2
yang gen z sering pakai chatgpt,yang gen z sering pakai chatgpt,2
apa lur penting nusantara oke,apa lur penting nusantara oke,2
etis kalau diam mencarikan jodoh putri,etis kalau diam mencarikan jodoh putri,2
medical chek itu ngecek psikis juga,medical chek itu ngecek psikis juga,2
hasil nguli minggu belajar nguli teman,hasil nguli minggu belajar nguli teman,2
anxiety mengajarkanku hal kekuatan,anxiety mengajarkanku hal kekuatan,2
kumat kumat sakit uluhati sampai neseg,kumat kumat sakit uluhati sampai neseg,2
tips tidak masuk angin meriang bolak dong,tips tidak masuk angin meriang bolak dong,2
adakah grup yang daerah jember jatim,adakah grup yang daerah jember jatim,2
epek aslam kaki tangan keluaran keringat,epek aslam kaki tangan keluaran keringat,2
suara bkin cemas terus menekan bkin cemas,suara bkin cemas terus menekan bkin cemas,2
ada pernah ngeluarin potensi diatas,ada pernah ngeluarin potensi diatas,2
pencuci muka pori wajah apa bagus,pencuci muka pori wajah apa bagus,2
anxiety mengajarkanku hal kekuatan,anxiety mengajarkanku hal kekuatan,2
lama tidak postingan mobil,lama tidak postingan mobil,2
world tour dilanjutkan di,world tour dilanjutkan di,2
semoga bermanfaat orang beda beda kecocokannya,semoga bermanfaat orang beda beda kecocokannya,2
tangan sebelah kiri sakit nyut sakitnya hilang timbul,tangan sebelah kiri sakit nyut sakitnya hilang timbul,2
tanya buat gadis tapiii serius kakak,tanya buat gadis tapiii serius kakak,2
coba rutin makan kurma pagi jumlah ganjil,coba rutin makan kurma pagi jumlah ganjil,2
pengamen pengemis ditempat makin saja,pengamen pengemis ditempat makin saja,2
serius ini aku kunjung kunjung nikah,serius ini aku kunjung kunjung nikah,2
lepas obat psikotik efeknya butuh,lepas obat psikotik efeknya butuh,2
makan timun rebus bisa menurunkan tensi,makan timun rebus bisa menurunkan tensi,2
keluhan terberat saat sos penyakit,keluhan terberat saat sos penyakit,2
sensasi berdenging telinga,sensasi berdenging telinga,2
menahan tidak campur bukan urusan,menahan tidak campur bukan urusan,2
ganggu jiwa keberandalan ku muncul,ganggu jiwa keberandalan ku muncul,2
kalau ketempat saudara dikasih teh panas,kalau ketempat saudara dikasih teh panas,2
klu jaln suka ngos tersa kesal,klu jaln suka ngos tersa kesal,2
kambuh keliyengan tegang tengah acara solusi teman,kambuh keliyengan tegang tengah acara solusi teman,2
bagimana mendapatkan teman benar teman,bagimana mendapatkan teman benar teman,2
saya cerita keluhan saya alami,saya cerita keluhan saya alami,2
semoga tahun aku kebahagiaan amiiin,semoga tahun aku kebahagiaan amiiin,2
ngantuk mlm ssh tidur meremin tidak,ngantuk mlm ssh tidur meremin tidak,2
ujian dunia masalah pertemanan,ujian dunia masalah pertemanan,2
aku jenuh bgni malas pasangan,aku jenuh bgni malas pasangan,2
saran gimana menhidar kesepian,saran gimana menhidar kesepian,2
bakat dance akan dinaikkan passion,bakat dance akan dinaikkan passion,2
disini yang terkena was hal ibadah,disini yang terkena was hal ibadah,2
senang di suruh makan hbny turun fbpro,senang di suruh makan hbny turun fbpro,2
obat mata ampuh mata ku merah pedih beraer,obat mata ampuh mata ku merah pedih beraer,2
suda yang coba herbal cina sai wei,suda yang coba herbal cina sai wei,2
senang di suruh makan hbny turun fbpro,senang di suruh makan hbny turun fbpro,2
kesal sendiri pergi menjauh semuanya,kesal sendiri pergi menjauh semuanya,2
suka nyeri area ulu hatinya,suka nyeri area ulu hatinya,2
hujan suasana tenang malah,hujan suasana tenang malah,2
pernah yang saturasi oksigennya rendah,pernah yang saturasi oksigennya rendah,2
mau curhat allah swt pakai aplikasi ai chatgpt,mau curhat allah swt pakai aplikasi ai chatgpt,2
ada tau ciri ciri telinga berdengung gimana,ada tau ciri ciri telinga berdengung gimana,2
stress malas mandi urus badan,stress malas mandi urus badan,2
satu didalam kamar rasanya kepala pusing,satu didalam kamar rasanya kepala pusing,2
dalem dada beberapa ini bergetar,dalem dada beberapa ini bergetar,2
sudah ngurung dikamar tolong,sudah ngurung dikamar tolong,2
badan pegel kyak habis marathon nyeri tulang cenut,badan pegel kyak habis marathon nyeri tulang cenut,2
minggu otak tegang badan lemas gimna solusi,minggu otak tegang badan lemas gimna solusi,2
hari rahang kaku nyeri,hari rahang kaku nyeri,2
hidung berasa kesumbat tidak flu panik,hidung berasa kesumbat tidak flu panik,2
penyakit mentalku fobia sosialmu masih,penyakit mentalku fobia sosialmu masih,2
tau kalau kliengan nahan berdiri lemes,tau kalau kliengan nahan berdiri lemes,2
sini yang gigit gigi seperti neken gigi,sini yang gigit gigi seperti neken gigi,2
terima kasih admin perbolehkam gabung grub di,terima kasih admin perbolehkam gabung grub di,2
sore mendung gerimis kecemasan kadang datang,sore mendung gerimis kecemasan kadang datang,2
semangat hidup menurun sekali kesana,semangat hidup menurun sekali kesana,2
semoga perubahan rutin control minggu,semoga perubahan rutin control minggu,2
ini ada larangan pergi gunung ciremai,ini ada larangan pergi gunung ciremai,2
ibadah tidak relasi terus nganggur,ibadah tidak relasi terus nganggur,2
fobsos pemalu bisa nyambung orang introvert,fobsos pemalu bisa nyambung orang introvert,2
di sni orang manado blh sto sharing sdkt,di sni orang manado blh sto sharing sdkt,2
sakit sakitan vaksin covid,sakit sakitan vaksin covid,2
dunia pernikahan kamu salah pilih pasangan,dunia pernikahan kamu salah pilih pasangan,2
masih kambuh kambuh boleh cht sharing sharing,masih kambuh kambuh boleh cht sharing sharing,2
kebanyakan sore magrib kumat yang,kebanyakan sore magrib kumat yang,2
gimana cara jelasin ortua kalian,gimana cara jelasin ortua kalian,2
yang kena aslam boleh makan kuning telur mentah,yang kena aslam boleh makan kuning telur mentah,2
sos ask kalian pernah hubungan normies,sos ask kalian pernah hubungan normies,2
sebelum kena social anxiety benar di hargai,sebelum kena social anxiety benar di hargai,2
ada ingin setampan uciha sasuke surganya,ada ingin setampan uciha sasuke surganya,2
dengar berita duka ketringer pusing pikiran kacau panik,dengar berita duka ketringer pusing pikiran kacau panik,2
anxiety disebabkan oleh pola hidup buruk,anxiety disebabkan oleh pola hidup buruk,2
sos ask kalian pernah hubungan normies,sos ask kalian pernah hubungan normies,2
beberapa nyeri ulu hati solusinya kaka kaka,beberapa nyeri ulu hati solusinya kaka kaka,2
adakah grup aslam whatsapp khusus perempuan kah,adakah grup aslam whatsapp khusus perempuan kah,2
ikut kerja bakti teman deg duluan lawan,ikut kerja bakti teman deg duluan lawan,2
kerja harian kabur kerjaan teman pada toxic,kerja harian kabur kerjaan teman pada toxic,2
keluar rsj rumah hampa bosan ada kegiatan,keluar rsj rumah hampa bosan ada kegiatan,2
yang lepas aprazolam sejenisnya bagi,yang lepas aprazolam sejenisnya bagi,2
ayo sahabat ku bangkit semangatuntukdirikudan sahabat ku fyp,ayo sahabat ku bangkit semangatuntukdirikudan sahabat ku fyp,2
disini takut tdur takut mimpi bruk bruk stiap malam,disini takut tdur takut mimpi bruk bruk stiap malam,2
memang dunia sudah berpihak padaku,memang dunia sudah berpihak padaku,2
yang tensinya rendah gaa kok rendah ya,yang tensinya rendah gaa kok rendah ya,2
keluar rsj rumah hampa bosan ada kegiatan,keluar rsj rumah hampa bosan ada kegiatan,2
aqu positif hamil teman sensasi bandel bandel,aqu positif hamil teman sensasi bandel bandel,2
cek tensi darah pas bangun tidur biar hasil benar,cek tensi darah pas bangun tidur biar hasil benar,2
anak speech delay berbicara konsumsi produk,anak speech delay berbicara konsumsi produk,2
benar sudah tahap titik terendah hidup,benar sudah tahap titik terendah hidup,2
nya otak sudah rusak sos  kecanduan pmo,nya otak sudah rusak sos kecanduan pmo,2
bingung admin pikaran kacau mau konsultasi ekonomi sush,bingung admin pikaran kacau mau konsultasi ekonomi sush,2
tenaga terkuras karena bertarung pikiran,tenaga terkuras karena bertarung pikiran,2
oalah pondok makan ikan cianjur ada sukajadi,oalah pondok makan ikan cianjur ada sukajadi,2
tanya osos cwe pakai skincare buat cahaya,tanya osos cwe pakai skincare buat cahaya,2
ayo sensasi yang rasakan menjelang sore,ayo sensasi yang rasakan menjelang sore,2
pasti sehat bugar panjang umur semangat,pasti sehat bugar panjang umur semangat,2
assalamualaikum grup ada siap mentor kah,assalamualaikum grup ada siap mentor kah,2
pasti sehat bugar panjang umur semangat,pasti sehat bugar panjang umur semangat,2
q diagnosa depresi berat caranya berfikir,q diagnosa depresi berat caranya berfikir,2
lawan pantang menyerah sering pusing kliyengan,lawan pantang menyerah sering pusing kliyengan,2
ayo bangun sahur ingin berpuasa kamis semoga mudahkan,ayo bangun sahur ingin berpuasa kamis semoga mudahkan,2
kena asam lambung  giginya rusak,kena asam lambung giginya rusak,2
tidak sabar merayakan pawai kemenangan ini,tidak sabar merayakan pawai kemenangan ini,2
minggu kepala pusing berat keliengan menyiksa,minggu kepala pusing berat keliengan menyiksa,2
perasaan telinga mau tuli perasaan kitu,perasaan telinga mau tuli perasaan kitu,2
ngtasi ketemu orang bingung memulai obrolan,ngtasi ketemu orang bingung memulai obrolan,2
blom tidur seketip ponad ya sama jm brapa,blom tidur seketip ponad ya sama jm brapa,2
sedikit orang memahami sakit balik senyuman,sedikit orang memahami sakit balik senyuman,2
banyak tau betapa beratnya berjuang melawan anxiety,banyak tau betapa beratnya berjuang melawan anxiety,2
lagi kambuh nangis teriak obrak abrik barang,lagi kambuh nangis teriak obrak abrik barang,2
halo  yang benjolan leher sharing,halo yang benjolan leher sharing,2
cewek orang korea cantik dan senyumannya manis,cewek orang korea cantik dan senyumannya manis,2
kalian apa pengaruh media sosial remaja,kalian apa pengaruh media sosial remaja,2
anxienty halusinasi astaghfirullah bisa tidur sehari,anxienty halusinasi astaghfirullah bisa tidur sehari,2
bismillah mengais rezeki teman fyp pengikut sorotan fbpro,bismillah mengais rezeki teman fyp pengikut sorotan fbpro,2
cara mengatasi suara batuk tetangga sebelah rumah,cara mengatasi suara batuk tetangga sebelah rumah,2
dengar kabar duka sesak hilang gimna solusinya om,dengar kabar duka sesak hilang gimna solusinya om,2
assalamualaikum hai mau ngomong darimanaberi motivasi,assalamualaikum hai mau ngomong darimanaberi motivasi,2
mata buram prsaan oleng akibat lmbt makan teman,mata buram prsaan oleng akibat lmbt makan teman,2
mau coba jual gorengan bakwan isi semoga laris,mau coba jual gorengan bakwan isi semoga laris,2
suami cuek apakah harus bodoh gimna,suami cuek apakah harus bodoh gimna,2
dsini tidak teman tiap ngecekin telinga,dsini tidak teman tiap ngecekin telinga,2
bismillah mengais rezeki teman fyp pengikut sorotan fbpro,bismillah mengais rezeki teman fyp pengikut sorotan fbpro,2
andai bapak ibu owe rentalin motor pribadi mingguan,andai bapak ibu owe rentalin motor pribadi mingguan,2
tahun lulus sekolah mulai sebagai karyawan,tahun lulus sekolah mulai sebagai karyawan,2
telinga kiri sakit daerah dalem nyut nyutan,telinga kiri sakit daerah dalem nyut nyutan,2
nyemil roti roma aman teman gerd anxiety psikomatis,nyemil roti roma aman teman gerd anxiety psikomatis,2
perut kembung enngap punggung sakit panas muntah lendir berbusa,perut kembung enngap punggung sakit panas muntah lendir berbusa,2
mohon apakah pusing berasal mata hidung,mohon apakah pusing berasal mata hidung,2
mampir aku menyibuk diri cemas berkurang,mampir aku menyibuk diri cemas berkurang,2
orang bahwa mengapa akhir,orang bahwa mengapa akhir,2
saran mp player ada fitur ulang ya menemani sehari,saran mp player ada fitur ulang ya menemani sehari,2
tiba ingat apakah lagi memikirkan,tiba ingat apakah lagi memikirkan,2
adakah sembuh depresi percintaan ditinggal selingkuh,adakah sembuh depresi percintaan ditinggal selingkuh,2
cowok introvert ingin sahabat cowok sidoarjo,cowok introvert ingin sahabat cowok sidoarjo,2
kepikiran kemasalalu memperbaiki hal,kepikiran kemasalalu memperbaiki hal,2
info beli obat clobazam mg apotek daring ya terima kasih,info beli obat clobazam mg apotek daring ya terima kasih,2
kan bangun  mimpi jadikan takut parno allohhh,kan bangun mimpi jadikan takut parno allohhh,2
info klu shbs minum kunyit madu minum obat ruma sakit,info klu shbs minum kunyit madu minum obat ruma sakit,2
parno soalnya nyeri dada sebelah kiri solusinya tolongg,parno soalnya nyeri dada sebelah kiri solusinya tolongg,2
tiba shalat jum badan gemetar jantung berdebar,tiba shalat jum badan gemetar jantung berdebar,2
orang bahwa mengapa akhir,orang bahwa mengapa akhir,2
hadeuh perasaan enak se mau mati detik jga,hadeuh perasaan enak se mau mati detik jga,2
k pop berasa perbedaan lagu zaman dan zaman,k pop berasa perbedaan lagu zaman dan zaman,2
nafasnya manual tidak otomatis,nafasnya manual tidak otomatis,2
kedutan kenceng bagian kaki badan tidak tenaga,kedutan kenceng bagian kaki badan tidak tenaga,2
cuaca mendung hujan suasana hati enak suka jelek,cuaca mendung hujan suasana hati enak suka jelek,2
kalian aku gadis tahap dkt pdkt cowok,kalian aku gadis tahap dkt pdkt cowok,2
banyak bermunculan badan gerak seirama jantung,banyak bermunculan badan gerak seirama jantung,2
yang gatel ya bentol merah hilang timbul,yang gatel ya bentol merah hilang timbul,2
samping kanan tali pusar ada bergoyang kenapa,samping kanan tali pusar ada bergoyang kenapa,2
gimana mengaktifkan mode gratis fb lite ko ada,gimana mengaktifkan mode gratis fb lite ko ada,2
ya susah ngungkapin ngejelasin yang rasain,ya susah ngungkapin ngejelasin yang rasain,2
di rumah sakit jiwa alat terapi listrik modern,di rumah sakit jiwa alat terapi listrik modern,2
adakah sini merasakan detang jantung karuan iramanya,adakah sini merasakan detang jantung karuan iramanya,2
dewasa semakin malas interaksi orang,dewasa semakin malas interaksi orang,2
sos  umur masih pmo menyendiri parah,sos umur masih pmo menyendiri parah,2
bangkit keterpurukan mental selama digrogoti pikiran,bangkit keterpurukan mental selama digrogoti pikiran,2
dijakarta barat komen posisi merantau ini,dijakarta barat komen posisi merantau ini,2
haya malaikat q membut q semangat dalm menjallani hidup,haya malaikat q membut q semangat dalm menjallani hidup,2
curhat via tlpon semoga lega dapat solusi,curhat via tlpon semoga lega dapat solusi,2
herbal asam lambung gerd badan cpt berisi malu katain kurus,herbal asam lambung gerd badan cpt berisi malu katain kurus,2
yang pikirkan makanan coba tulis kolom comentar,yang pikirkan makanan coba tulis kolom comentar,2
lengan tangan kiri nyeri kebas baring,lengan tangan kiri nyeri kebas baring,2
gemeteran angin kencangtkut pingsan karena takut,gemeteran angin kencangtkut pingsan karena takut,2
cake buahh naga sih gbsa ku hmm tpe mixser patah,cake buahh naga sih gbsa ku hmm tpe mixser patah,2
maaf melenceng admin sekarang butuh suport teman grub,maaf melenceng admin sekarang butuh suport teman grub,2
kesal aku ngadepin penyakit lelah letih lesu murung,kesal aku ngadepin penyakit lelah letih lesu murung,2
tolong tutor cara menghadapi majikan serba salah,tolong tutor cara menghadapi majikan serba salah,2
mana letak kesalahan berpikir hidup tidak diminta,mana letak kesalahan berpikir hidup tidak diminta,2
penyakit pengaruh sistem otak percaya juga,penyakit pengaruh sistem otak percaya juga,2
tdur siang menitan selalu suara selalu menyinggung,tdur siang menitan selalu suara selalu menyinggung,2
saat masih terbaring lemas nda tenaga jantung denyut,saat masih terbaring lemas nda tenaga jantung denyut,2
dunia hambar bismillah sembuh sumpah enak,dunia hambar bismillah sembuh sumpah enak,2
orang indonesia memiliki kekreatifan tinggi,orang indonesia memiliki kekreatifan tinggi,2
yang ngalamin usus bermasalah cara ngobatin gimana,yang ngalamin usus bermasalah cara ngobatin gimana,2
serius ini ultah duniaku sepi hanya teman daring,serius ini ultah duniaku sepi hanya teman daring,2
kena gerd ada kulitnya sensitif gampang merah,kena gerd ada kulitnya sensitif gampang merah,2
beberapa kali kenalan cewek kemampuannya diatas,beberapa kali kenalan cewek kemampuannya diatas,2
apa dulu lepas infus pagi mlm minum anggur merah dikit,apa dulu lepas infus pagi mlm minum anggur merah dikit,2
manusia bisa berikhtiar berdoa semoga berikan kemudahan,manusia bisa berikhtiar berdoa semoga berikan kemudahan,2
kalian memilih kelaparan dipermalukan depan,kalian memilih kelaparan dipermalukan depan,2
disini gangguan cemas takut bersosial dua,disini gangguan cemas takut bersosial dua,2
adakah sinih detak jantung kenceng setiap nya,adakah sinih detak jantung kenceng setiap nya,2
semangat pagi pejuang anxietydisorder gerd asamlambungrsud kalideres,semangat pagi pejuang anxietydisorder gerd asamlambungrsud kalideres,2
mulut asam kadang pahit ini asamlambung anxiaty,mulut asam kadang pahit ini asamlambung anxiaty,2
leher tercekik dada berat penuh yallah bulan,leher tercekik dada berat penuh yallah bulan,2
worth it kalau orang islam ke negeri bulan ramadhan,worth it kalau orang islam ke negeri bulan ramadhan,2
boleh tau seorang antisosial skizoid memandang dunia,boleh tau seorang antisosial skizoid memandang dunia,2
tidak sabar mau pergi tampil dance luar negeri aduh,tidak sabar mau pergi tampil dance luar negeri aduh,2
hai teman dibully sudah minggu sekolah tarot psikologi,hai teman dibully sudah minggu sekolah tarot psikologi,2
kerja betah bertahan nunggu gajian pulang bawa uang,kerja betah bertahan nunggu gajian pulang bawa uang,2
kenapaa kalau foto foto susah ada gangguan,kenapaa kalau foto foto susah ada gangguan,2
apapun kulakukan tidak diliatin orang contoh sholat,apapun kulakukan tidak diliatin orang contoh sholat,2
terbangun rasa mual gerah pikiran ikut aneh,terbangun rasa mual gerah pikiran ikut aneh,2
kumat kumat sakit uluhati neseg pikiran kacau,kumat kumat sakit uluhati neseg pikiran kacau,2
betul anxiety kambuh serasa ujian berat,betul anxiety kambuh serasa ujian berat,2
bahaya minuman asam penderita asam lambung asamlambung maag gerd,bahaya minuman asam penderita asam lambung asamlambung maag gerd,2
aktif teman digrup mksdnya banyak aktif dsinj,aktif teman digrup mksdnya banyak aktif dsinj,2
ceritain sensasi saja paling menganggu teman rasain,ceritain sensasi saja paling menganggu teman rasain,2
ekonomi lesu otomatis orang beralih profesi penjahat,ekonomi lesu otomatis orang beralih profesi penjahat,2
mulai mual pemirsa allah sungguh penyakit menyiksaku,mulai mual pemirsa allah sungguh penyakit menyiksaku,2
pengennya jajan kalau cwek mh sekali pnya kerja cocok,pengennya jajan kalau cwek mh sekali pnya kerja cocok,2
yang berteman denganku penderita gerd anxiety psikosomatis,yang berteman denganku penderita gerd anxiety psikosomatis,2
absen disini penderita aslam kebanyakan cewek cowok,absen disini penderita aslam kebanyakan cewek cowok,2
semenjak menderita asam lambung rambut rontok parah yang,semenjak menderita asam lambung rambut rontok parah yang,2
diam masalah malah disalahkan alu gimana,diam masalah malah disalahkan alu gimana,2
pdkt cwo dia gengsian sebenarnya suka tanda apa,pdkt cwo dia gengsian sebenarnya suka tanda apa,2
bab darah semenjak kena aslam kena wasir sering bab darah,bab darah semenjak kena aslam kena wasir sering bab darah,2
ingin pertemanan daring nanti terima,ingin pertemanan daring nanti terima,2
minum kunyit parut campur madu pagi bagus lambung,minum kunyit parut campur madu pagi bagus lambung,2
grup sebelah setiap postingan di hapus rizal mu,grup sebelah setiap postingan di hapus rizal mu,2
gara penyakit sampai ditinggal pasangan istri,gara penyakit sampai ditinggal pasangan istri,2
mau terapi anxiety psikosomatis gratis via zoom siang,mau terapi anxiety psikosomatis gratis via zoom siang,2
cara menghilangkan lendir dahak tenggorokan di hidung,cara menghilangkan lendir dahak tenggorokan di hidung,2
apkh dsni dari sulawesi grup yuuukk masukkn ya,apkh dsni dari sulawesi grup yuuukk masukkn ya,2
seorang anak di banggakan keberhasilan prestasi,seorang anak di banggakan keberhasilan prestasi,2
absen pagi tidak onar digrup jadi kangen hahhaahhhaaahha,absen pagi tidak onar digrup jadi kangen hahhaahhhaaahha,2
